name,rating,Pass accuracy_percentile,Accurate long balls_percentile,Long ball accuracy_percentile,Saves_percentile,Save percentage_percentile,Goals conceded_percentile,Goals prevented_percentile,Clean sheets_percentile,Error led to goal_percentile,Acted as sweeper_percentile,High claims_percentile
James Pantemis,7.49,73.68421052631578,85.96491228070175,85.96491228070175,92.98245614035088,89.47368421052632,57.89473684210527,87.71929824561403,52.63157894736842,28.07017543859649,77.19298245614034,42.10526315789473
Matt Freese,7.3,71.9298245614035,8.771929824561402,21.052631578947366,52.63157894736842,80.7017543859649,66.66666666666666,73.68421052631578,82.45614035087719,100.0,75.43859649122807,75.43859649122807
Nicholas Defreitas,7.24,3.508771929824561,61.40350877192983,14.035087719298245,59.64912280701754,71.9298245614035,45.614035087719294,63.1578947368421,64.91228070175438,19.29824561403509,70.17543859649122,92.98245614035088
Dayne St. Clair,7.22,17.543859649122805,84.21052631578947,31.57894736842105,33.33333333333333,91.2280701754386,92.98245614035088,68.42105263157895,94.73684210526316,100.0,19.29824561403509,50.877192982456144
Sean Johnson,7.21,40.35087719298245,42.10526315789473,35.08771929824561,71.9298245614035,77.19298245614034,45.614035087719294,92.98245614035088,52.63157894736842,100.0,49.122807017543856,28.07017543859649
Carlos Coronel,7.2,21.052631578947366,22.807017543859647,10.526315789473683,64.91228070175438,84.21052631578947,64.91228070175438,82.45614035087719,77.19298245614034,38.59649122807017,89.47368421052632,63.1578947368421
Roman Celentano,7.17,47.368421052631575,40.35087719298245,52.63157894736842,40.35087719298245,57.89473684210527,59.64912280701754,71.9298245614035,61.40350877192983,100.0,22.807017543859647,77.19298245614034
Andre Blake,7.14,45.614035087719294,78.94736842105263,78.94736842105263,24.561403508771928,73.68421052631578,78.94736842105263,75.43859649122807,68.42105263157895,100.0,77.19298245614034,42.10526315789473
Brad Stuver,7.13,33.33333333333333,89.47368421052632,54.38596491228071,56.14035087719298,82.45614035087719,68.42105263157895,66.66666666666666,77.19298245614034,19.29824561403509,35.08771929824561,89.47368421052632
Joe Willis,7.11,64.91228070175438,47.368421052631575,70.17543859649122,31.57894736842105,75.43859649122807,75.43859649122807,70.17543859649122,68.42105263157895,100.0,17.543859649122805,85.96491228070175
Zack Steffen,7.09,14.035087719298245,82.45614035087719,36.84210526315789,89.47368421052632,78.94736842105263,43.85964912280701,91.2280701754386,59.64912280701754,100.0,82.45614035087719,35.08771929824561
Daniel,7.07,35.08771929824561,57.89473684210527,42.10526315789473,91.2280701754386,87.71929824561403,56.14035087719298,89.47368421052632,31.57894736842105,35.08771929824561,91.2280701754386,61.40350877192983
Roman Bürki,7.03,49.122807017543856,80.7017543859649,59.64912280701754,85.96491228070175,68.42105263157895,33.33333333333333,57.89473684210527,52.63157894736842,100.0,66.66666666666666,42.10526315789473
Rafael Cabral,7.01,85.96491228070175,77.19298245614034,82.45614035087719,45.614035087719294,54.38596491228071,45.614035087719294,80.7017543859649,42.10526315789473,100.0,52.63157894736842,12.280701754385964
Yohei Takaoka,6.96,80.7017543859649,54.38596491228071,71.9298245614035,17.543859649122805,38.59649122807017,73.68421052631578,52.63157894736842,92.98245614035088,19.29824561403509,85.96491228070175,52.63157894736842
